127.0.0.1 - - [22/Oct/2018:00:09:06 +0000] "GET /2018/10/22/hello-world/ HTTP/1.0" 200 57752 "http://oakshieldlocal.local/2018/10/22/hello-world/" "WordPress/4.9.8; http://oakshieldlocal.local"
127.0.0.1 - - [22/Oct/2018:00:09:08 +0000] "POST /wp-cron.php?doing_wp_cron=1540166947.4767389297485351562500 HTTP/1.0" 499 0 "http://oakshieldlocal.local/wp-cron.php?doing_wp_cron=1540166947.4767389297485351562500" "WordPress/4.9.8; http://oakshieldlocal.local"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Foakshieldlocal.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2303 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /robots.txt HTTP/1.0" 200 67 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8 HTTP/1.0" 200 104364 "http://oakshieldlocal.local/wp-login.php?redirect_to=http%3A%2F%2Foakshieldlocal.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:30 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://oakshieldlocal.local/wp-login.php?redirect_to=http%3A%2F%2Foakshieldlocal.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:37 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://oakshieldlocal.local/wp-login.php?redirect_to=http%3A%2F%2Foakshieldlocal.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:38 +0000] "GET /wp-admin/ HTTP/1.0" 200 58280 "http://oakshieldlocal.local/wp-login.php?redirect_to=http%3A%2F%2Foakshieldlocal.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:38 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 109068 "http://oakshieldlocal.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [22/Oct/2018:00:11:38 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 337409 "http://oakshieldlocal.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
